Median House  Price - 2019,Column11,Column12,Column15,Column14,Column13
,2019,2020,Growth PA,change,change
locality,Median,Median,,2009-2019,2018-2019
HOPPERS CROSSING,528500,545000,6.4,87,-4
HORSHAM,269000,260000,4.3,53,5
HUGHESDALE,1150500,1480000,5.2,66,-10
HUNTINGDALE,914000,1278000,5,63,-10
HUNTLY,367500,372500,3.5,41,3
HURSTBRIDGE,700000,740000,5.7,74,-4
INDENTED HEAD,606000,728500,6.5,88,5
INGLEWOOD,185000,250000,3.6,42,3
INVERLEIGH,503000,500000,7.7,110,-5
INVERLOCH,592500,649000,4.6,56,-1
INVERMAY PARK,475000,497000,4.5,56,2
IRONBARK,296000,465500,2.7,31,-8
IRYMPLE,380000,365000,5.9,77,23
IVANHOE,1540000,1422500,6.7,92,-4
IVANHOE EAST,1765000,1990000,6.3,84,-8
JACANA,512500,510000,4.8,60,-8
JACKASS FLAT,331500,345000,2.4,27,7
JAMIESON,311500,345000,4.9,61,17
JAN JUC,870000,860000,6.4,86,-4
JEERALANG NORTH,235000,296000,3.8,46,39
JEPARIT,81000,88000,2,21,5
JUNCTION VILLAGE,483500,467500,5.7,75,-5
JUNORTOUN,530000,589000,2.1,23,5
KALIMNA,292500,325000,0.9,10,-10
KALKALLO,532500,540000,NA,0,-3
KALLISTA,700000,564000,5.5,71,-5
KALORAMA,645000,642000,6.3,84,-6
KANGAROO FLAT,340000,370000,3.9,46,5
KANGAROO GROUND SOUTH,815500,1080000,4.7,58,-12
KANIVA,169500,137500,5.8,77,3
KEALBA,596000,600000,6.6,90,-3
KEILOR,836500,830000,5.1,64,3
KEILOR DOWNS,630000,650000,5.5,70,-5
KEILOR EAST,835000,858000,6.3,84,1
KEILOR LODGE,740000,NA,6,78,3
KEILOR PARK,708000,660000,5.7,74,-8
KENNINGTON,373500,411000,3.5,41,-3
KENSINGTON,980000,1150000,5.6,72,-4
KERANG,170000,160000,1.4,15,-4
KEW,2255000,2200000,5,62,-4
KEW EAST,1837000,1905000,7,97,2
KEW NORTH,1833000,2307500,6.9,95,-1
KEYSBOROUGH,740000,745000,7,97,-4
KIALLA,450000,420000,3.5,41,8
KILCUNDA,533000,662000,6.2,82,8
KILLARA (WODONGA),453500,413000,7.9,113,8
KILMORE,435000,467500,4.7,59,-1
KILSYTH,642500,700000,5.7,74,-6
KILSYTH SOUTH,761500,848000,5.7,74,-8
KINGLAKE,555000,630000,7.7,109,16
KINGS PARK,510000,537500,6,79,-7
KINGSBURY,660000,700500,4.6,57,-10
KINGSVILLE,1010000,875000,6.3,85,2
KNOXFIELD,760000,829000,6.1,81,-7
KOO WEE RUP,550000,510000,7,96,8
KOONDROOK,212500,215000,4.3,53,-21
KOROIT,345000,341000,5.1,64,-1
KORUMBURRA,319000,378000,4.1,49,0
KURUNJANG,420500,440000,5.7,74,-3
KYABRAM,263000,270000,3,35,1
KYNETON,595000,620000,8.2,121,8
LAKE BOGA,239000,211500,4.8,60,9
LAKE GARDENS,552500,635000,4.7,58,-4
LAKE TYERS BEACH,357500,400000,4.3,52,19
