tl_dntl_prctns_inclds_dnts_orl_hlt_thrps_hygnst_prsth_2018_pltn, midwives_may_also_registered_nurse_enrolled_2018_population_erp, tl_dntl_prctns_inclds_dnts_orl_hlt_thrps_hygnst_prsth_2018_rte, total_registered_nurses_2018_population_erp, ttl_nrss_rgstrd_enrlld_mdwvs_prsn_cntd_2018_ppltn_erp, unknwnnt_applcble_mdcl_prcttnrs_2018_rte_pr_100000_pple, lga_name, registered_nurses_who_are_also_midwives_2018_population_erp, unknownnot_applicable_medical_practitioners_2018_number, total_medical_practitioners_2018_population_erp, total_medical_practitioners_2018_number, spclst_prcttnrs_rprtd_excldng_gps_2018_rte_pr_100000_pple, enrolled_nurses_2018_number, ttl_nrss_rgstrd_enrlld_mdwvs_prsn_cntd_2018_nmbr, mdwvs_my_also_rgstrd_nrse_enrlld_2018_rte_pr_100000_pple, ttl_nrss_rgstrd_enrlld_mdwvs_prsn_cntd_2018_rte_pr_100000_pple, total_registered_nurses_2018_rate_per_100000_people, registered_nurses_who_are_also_midwives_2018_number, tl_dntl_prctns_inclds_dnts_orl_hlt_thrps_hygnst_prsth_2018_nmbr, dentists_2018_rate_per_100000_people, enrolled_nurses_2018_rate_per_100000_people, general_medical_practitioners_2018_number, total_registered_nurses_2018_number, general_medical_practitioners_2018_rate_per_100000_people, registered_nurses_only_2018_number, registered_nurses_only_2018_population_erp, total_medical_practitioners_2018_rate_per_100000_people, dentists_2018_population_erp, dentists_2018_number, registered_nurses_only_2018_rate_per_100000_people, spclst_prcttnrs_rprtd_excldng_gps_2018_ppltn_erp, lga_code, specialist_practitioners_as_reported_excluding_gps_2018_number, general_medical_practitioners_2018_population_erp, midwives_may_also_registered_nurse_enrolled_nurse_2018_number, registered_nurses_also_midwives_2018_rate_per_100000_people, unknownnot_applicable_medical_practitioners_2018_population_erp, enrolled_nurses_2018_population_erp
19875.0,19875.0,75.4716981132075,19875.0,19875.0,125.786163522013,"Horsham (RC)",19875.0,25.0,19875.0,49.0,50.314465408805,127.0,487.0,231.446540880503,2450.31446540881,1811.32075471698,46.0,15.0,45.2830188679245,638.993710691824,14.0,360.0,70.440251572327,314.0,19875.0,246.540880503145,19875.0,9.0,1579.87421383648,19875.0,23190,10.0,19875.0,46.0,231.446540880503,19875.0,19875.0
224394.0,224394.0,44.5644714208045,224394.0,224394.0,52.1404315623412,"Hume (C)",224394.0,117.0,224394.0,296.0,16.9344991399057,242.0,898.0,23.1735251388183,400.188953358824,291.005998377853,49.0,100.0,35.2059324224355,107.846020838347,141.0,653.0,62.8359047033343,604.0,224394.0,131.910835405581,224394.0,79.0,269.169407381659,224394.0,23270,38.0,224394.0,52.0,21.8365909961942,224394.0,224394.0
null,16490.0,null,16490.0,16490.0,42.4499696785931,"Indigo (S)",16490.0,7.0,16490.0,18.0,null,98.0,197.0,66.7070952092177,1194.66343238326,600.363856882959,11.0,null,null,594.299575500303,11.0,99.0,66.7070952092177,88.0,16490.0,109.157064887811,null,null,533.656761673742,null,23350,null,16490.0,11.0,66.7070952092177,16490.0,16490.0
163431.0,163431.0,72.2017242750763,163431.0,163431.0,56.2928697737883,"Kingston (C) (Vic.)",163431.0,92.0,163431.0,282.0,48.9503215424246,397.0,1320.0,28.1464348868942,807.680305450006,564.152455776444,43.0,118.0,58.1285068316292,242.915970654282,110.0,922.0,67.3066921208339,879.0,163431.0,172.549883437047,163431.0,95.0,537.841657947391,163431.0,23430,80.0,163431.0,46.0,26.3107978290532,163431.0,163431.0
163203.0,163203.0,84.5572691678462,163203.0,163203.0,92.5228090169911,"Knox (C)",163203.0,151.0,163203.0,433.0,86.395470671495,459.0,2015.0,123.159500744472,1234.65867661746,930.129960846308,160.0,138.0,64.337052627709,281.244830058271,141.0,1518.0,86.395470671495,1358.0,163203.0,265.313750359981,163203.0,105.0,832.09254731837,163203.0,23670,141.0,163203.0,201.0,98.0374135279376,163203.0,163203.0
75211.0,75211.0,67.8092300328409,75211.0,75211.0,164.869500472005,"Latrobe (C) (Vic.)",75211.0,124.0,75211.0,262.0,110.356197896584,250.0,1330.0,130.300089082714,1768.35835183683,1429.31220167263,93.0,51.0,43.8765606094853,332.398186435495,55.0,1075.0,73.1276010158088,982.0,75211.0,348.353299384399,75211.0,33.0,1305.66007631862,75211.0,23810,83.0,75211.0,98.0,123.652125354004,75211.0,75211.0
null,null,null,7513.0,7513.0,null,"Loddon (S)",null,null,7513.0,4.0,null,31.0,83.0,null,1104.75176360974,692.13363503261,null,null,null,412.618128577133,null,52.0,null,52.0,7513.0,53.2410488486623,null,null,692.13363503261,null,23940,null,null,null,null,null,7513.0
49388.0,49388.0,38.4708836154531,49388.0,49388.0,103.263950757269,"Macedon Ranges (S)",49388.0,51.0,49388.0,106.0,14.1734834372722,111.0,335.0,54.6691504009071,678.302421640884,453.551469992711,27.0,19.0,32.3965335709079,224.750951648174,48.0,224.0,97.1896007127237,197.0,49388.0,214.627034907265,49388.0,16.0,398.882319591804,49388.0,24130,7.0,49388.0,27.0,54.6691504009071,49388.0,49388.0
125508.0,125508.0,86.8470535742742,125508.0,125508.0,31.0737164164834,"Manningham (C)",125508.0,39.0,125508.0,210.0,31.0737164164834,166.0,624.0,21.5125729037193,497.179462663735,364.916977403831,27.0,109.0,70.9118143863339,132.262485259904,132.0,458.0,105.172578640405,431.0,125508.0,167.320011473372,125508.0,89.0,343.404404500112,125508.0,24210,39.0,125508.0,27.0,21.5125729037193,125508.0,125508.0
8979.0,8979.0,44.5483906893863,8979.0,8979.0,66.8225860340795,"Mansfield (S)",8979.0,6.0,8979.0,18.0,null,42.0,121.0,167.056465085199,1347.58881835394,890.967813787727,15.0,4.0,44.5483906893863,467.758102238557,12.0,80.0,133.645172068159,65.0,8979.0,200.467758102239,8979.0,4.0,723.911348702528,null,24250,null,8979.0,15.0,167.056465085199,8979.0,8979.0
91387.0,91387.0,110.519001608544,91387.0,91387.0,246.205696652697,"Maribyrnong (C)",91387.0,225.0,91387.0,513.0,228.697736001838,189.0,1493.0,48.1468917898607,1633.71157823323,1421.42755534157,39.0,101.0,76.5973278475057,206.812785188265,79.0,1299.0,86.4455557136135,1260.0,91387.0,561.348988368149,91387.0,70.0,1378.7519012551,91387.0,24330,209.0,91387.0,44.0,42.6756540864674,91387.0,91387.0
