Median House Prices 3rd Quarter 2020,Column7
SUBURB,No of Sales 
,YTD
NORTH WONTHAGGI,41
NORTHCOTE,112
NUMURKAH,46
NUNAWADING,62
NYAH WEST,8
OAK PARK,39
OAKLEIGH,31
OAKLEIGH EAST,16
OAKLEIGH SOUTH,57
OCEAN GROVE,270
OFFICER,179
OFFICER SOUTH,5
OLINDA,11
OMEO,8
ORBOST,38
ORMOND,29
OSBORNE,63
OUYEN,23
PAKENHAM,596
PARADISE BEACH,10
PARK ORCHARDS,8
PARKDALE,75
PARKVILLE,6
PASCOE VALE,80
PASCOE VALE SOUTH,22
PATTERSON GARDENS,14
PATTERSON LAKES,32
PAYNESVILLE,79
PEARCEDALE,24
PETERBOROUGH,9
PIONEER BAY,12
PLENTY,11
POINT COOK,292
POINT LONSDALE,50
POREPUNKAH,10
PORT ALBERT,11
PORT FAIRY,46
PORT MELBOURNE,76
PORT WELSHPOOL,13
PORTARLINGTON,54
PORTLAND,172
PORTSEA,34
PRAHRAN,84
PRESTON,135
PRINCES HILL,17
PYRAMID HILL,6
QUARRY HILL,27
QUEENSCLIFF,30
RAINBOW,13
RAYMOND ISLAND,14
RED CLIFFS,50
RED HILL,6
REDAN,47
RESEARCH,14
RESERVOIR,224
RHYLL,13
RICHMOND,109
RIDDELLS CREEK,17
RINGWOOD,81
RINGWOOD EAST,45
RINGWOOD NORTH,61
ROBINVALE,23
ROCHESTER,43
ROCKBANK,12
ROMSEY,56
ROSANNA,34
ROSEBUD,184
ROSEBUD SOUTH,45
ROSEDALE,25
ROWVILLE,218
ROXBURGH PARK,137
RUPANYUP,6
RUSHWORTH,18
RUTHERGLEN,23
RYE,207
SAFETY BEACH,79
SAILORS GULLY,10
SALE,190
SAN REMO,29
SANCTUARY LAKES,199
SANDHURST,53
SANDRINGHAM,60
SANDY POINT,21
SASSAFRAS,4
SAWMILL SETTLEMENT,7
SCORESBY,31
SEA LAKE,17
SEABROOK,40
SEAFORD,137
SEAHOLME,14
SEASPRAY,10
SEBASTOPOL,116
SEDDON,42
SELBY,11
SEVILLE,16
SEVILLE EAST,3
SEYMOUR,69
SHEPPARTON,362
SHEPPARTON NORTH,11
SILVERLEAVES,11
SKIPTON,7
SKYE,63
SMITHS BEACH,14
SMYTHESDALE,13
SOLDIERS HILL,50
SOMERS,31
SOMERVILLE,98
SORRENTO,74
SOUTH GEELONG,4
SOUTH KINGSVILLE,15
SOUTH MELBOURNE,52
SOUTH MORANG,148
SOUTH YARRA,56
SPOTSWOOD,19
SPRING GULLY,27
SPRINGVALE,47
SPRINGVALE SOUTH,37
ST ALBANS,149
ST ALBANS PARK,36
ST ANDREWS BEACH,11
ST ARNAUD,31
ST HELENA,16
ST KILDA,24
ST KILDA EAST,26
ST KILDA WEST,11
ST LEONARDS,74
STAWELL,100
STRATFORD,43
STRATHDALE,67
STRATHFIELDSAYE,56
STRATHMERTON,4
STRATHMORE,47
STRATHTULLOH,32
STUDFIELD,6
SUNBURY,357
SUNDERLAND BAY,10
SUNSET STRIP,13
SUNSHINE,46
SUNSHINE NORTH,43
SUNSHINE WEST,70
SURF BEACH,17
SURREY HILLS,69
SWAN HILL,112
SYDENHAM,41
SYNDAL,34
