lga,2019,2020,change 2018-2019,change 2009-2019,Growth PA,no. of sales 2020
Port Phillip,1952500.0,1750000.0,5.7,74.0,-9.0,61
Cardinia,660000.0,737500.0,5.9,77.0,-10.0,40
Casey,620000.0,676000.0,5.7,74.0,-5.0,144
Whittlesea,550000.0,560000.0,4.8,60.0,-8.0,194
Greater Bendigo,371500.0,410000.0,3.6,43.0,4.0,60
Moonee Valley,1447000.0,1175000.0,6.2,83.0,-13.0,91
Moonee Valley,1100000.0,1327500.0,5.4,69.0,1.0,11
Moonee Valley,1160000.0,995000.0,5.5,71.0,-5.0,12
Casey,540000.0,556500.0,5.4,69.0,-13.0,13
Ballarat,360000.0,315000.0,4.1,49.0,14.0,6
Strathbogie,309000.0,327500.0,5.9,77.0,14.0,31
Melton,558500.0,540000.0,0.6,6.0,2.0,29
Wyndham,558500.0,540000.0,0.6,6.0,2.0,29
Darebin,1290000.0,1390000.0,6.7,90.0,-2.0,23
Surf Coast,1395000.0,1400000.0,6.8,92.0,37.0,8
Moreland,665000.0,708500.0,5.6,73.0,-8.0,81
Knox,692000.0,742000.0,6.2,82.0,-6.0,157
Yarra Ranges,733000.0,925000.0,4.4,54.0,-12.0,8
Mornington Peninsula,1240000.0,1415000.0,9.1,138.0,-8.0,16
Frankston,1392500.0,1135500.0,6.0,79.0,-4.0,33
Yarra,1392500.0,1135500.0,6.0,79.0,-4.0,33
Yarra,1377500.0,1590000.0,6.4,86.0,-7.0,59
Casey,485000.0,490000.0,4.2,52.0,-11.0,9
Moonee Valley,1000000.0,1107500.0,5.6,72.0,8.0,29
Mornington Peninsula,1670000.0,1300000.0,9.8,155.0,-2.0,18
Greater Bendigo,370000.0,389000.0,5.1,64.0,5.0,39
Murrindindi,290000.0,420000.0,2.1,24.0,-26.0,9
Maribyrnong,810000.0,920000.0,4.8,60.0,-10.0,69
Whitehorse,900000.0,1004000.0,6.0,79.0,-4.0,38
South Gippsland,325000.0,362500.0,3.9,46.0,-3.0,18
Frankston,580500.0,611500.0,6.3,84.0,-4.0,292
Frankston,423000.0,455000.0,6.0,78.0,-16.0,67
Frankston,817500.0,785000.0,6.1,80.0,-4.0,135
Melton,598000.0,635000.0,5.313392857142860,69.38959390862940,-3.0,63
Greater Geelong,617500.0,750000.0,5.313392857142860,69.38959390862940,-5.0,11
Melbourne,1375000.0,724976.1290322580,4.3,53.0,-9.0,6
Glen Eira,1740000.0,724976.1290322580,7.7,111.0,-5.0,0
Cardinia,540000.0,585000.0,7.0,96.0,0.0,11
Greater Geelong,720000.0,750000.0,6.3,85.0,-4.0,35
Greater Geelong,675000.0,780000.0,6.9,94.0,-5.0,89
Cardinia,650000.0,630000.0,8.0,117.0,7.0,12
Macedon Ranges,730000.0,720000.0,7.6,109.0,-5.0,90
Hume,636500.0,660000.0,6.0,80.0,1.0,55
Glen Eira,1380000.0,724976.1290322580,5.1,65.0,13.0,11
Boroondara,1929500.0,1860000.0,6.5,88.0,-1.0,106
Stonnington,1929500.0,1860000.0,6.5,88.0,-1.0,106
Monash,1270000.0,1235000.0,6.8,92.0,-2.0,192
Latrobe,324000.0,342500.0,3.7,44.0,8.0,0
Wangaratta,372500.0,724976.1290322580,4.7,58.0,41.0,8
Moreland,700000.0,740000.0,5.2,67.0,-3.0,87
Wellington,220000.0,310000.0,3.7,44.0,-2.0,21
Ballarat,370000.0,385000.0,5.8,76.0,6.0,34
Greater Bendigo,340000.0,352000.0,4.3,52.0,2.0,131
Moorabool,495000.0,649500.0,6.5,89.0,23.0,6
