ranking,School,Location,median VCE Score,VCE 40+ %
,,,,
390,Portland Secondary College,Portland,27,1.1
,,,,
391,Scoresby Secondary College,Scoresby,27,1
,,,,
392,Timboon P-12 School,Timboon,27,1
,,,,
393,Kyabram Secondary College,Kyabram,27,0.9
,,,,
394,St Peters College,Cranbourne,27,0.8
,,,,
395,Thomastown Secondary College,Thomastown,27,0.7
,,,,
396,Hampton Park Secondary College,Hampton Park,27,0.4
,,,,
397,Cobram Anglican Grammar School,Cobram,27,0
,,,,
398,Ouyen Secondary College,Ouyen,27,0
,,,,
399,Phoenix P-12 Community College,Sebastopol,27,0
,,,,
400,Swan Hill College,Swan Hill,26,4.4
,,,,
401,North Geelong Secondary College,Geelong North,26,4.3
,,,,
402,Carwatha College P-12,Noble Park North,26,3.5
,,,,
403,Marian College Ararat,Ararat,26,3.4
,,,,
404,Daylesford Secondary College,Daylesford,26,3.2
,,,,
405,Hume Central Secondary College,Broadmeadows,26,3.1
,,,,
406,Greensborough Secondary College,Greensborough,26,3
,,,,
407,Macleod College,Macleod,26,3
,,,,
408,Euroa Secondary College,Euroa,26,2.9
,,,,
409,Upwey High School,Upwey,26,2.9
,,,,
410,Bendigo Senior Secondary College,Bendigo,26,2.7
,,,,
411,Mornington Secondary College,Mornington,26,2.7
,,,,
412,Yea High School,Yea,26,2.7
,,,,
413,Fairhills High School,Knoxfield,26,2.3
,,,,
414,Mount Rowan Secondary College,Wendouree,26,2.3
,,,,
415,Yarrawonga College P-12,Yarrawonga,26,2.3
,,,,
416,Bellarine Secondary College,Drysdale,26,2.1
,,,,
417,Matthew Flinders Girls Secondary College,Geelong,26,2.1
,,,,
418,Bacchus Marsh College,Bacchus Marsh,26,2
,,,,
419,Mount Beauty Secondary College,Mount Beauty,26,2
,,,,
420,Keysborough Secondary College Acacia,Keysborough,26,1.9
,,,,
421,Upper Yarra Secondary College,Yarra Junction,26,1.9
,,,,
422,Rutherglen High School,Rutherglen,26,1.8
,,,,
423,Officer Secondary College,Officer,26,1.7
,,,,
424,Sunbury College,Sunbury,26,1.7
,,,,
425,Traralgon College,Traralgon,26,1.7
,,,,
426,Lalor North Secondary College,Epping,26,1.6
,,,,
427,Mount Clear College,Mount Clear,26,1.6
,,,,
428,Sale College,Sale,26,1.6
,,,,
429,Geelong High School,East Geelong,26,1.5
,,,,
430,Trafalgar High School,Trafalgar,26,1.4
,,,,
431,Warrandyte High School,Warrandyte,26,1.4
,,,,
432,Fountain Gate Secondary College,Fountain Gate,26,1
,,,,
433,Kolbe Catholic College,Greenvale Lakes,26,1
,,,,
434,Rowville Secondary College,Rowville,26,1
,,,,
435,Highview College,Maryborough,26,0.9
,,,,
436,Heathmont College,Heathmont,26,0.8
,,,,
437,Pakenham Secondary College,Pakenham,26,0.8
,,,,
438,Mansfield Secondary College,Mansfield,26,0.6
,,,,
439,Melton Christian College,Brookfield,26,0.6
,,,,
440,The Grange P-12 College,Hoppers Crossing,26,0.3
,,,,
441,Lyndale Secondary College,Dandenong North,26,0.2
,,,,
442,Roxburgh College,Roxburgh Park,26,0.2
,,,,
443,Beaufort Secondary College,Beaufort,26,0
,,,,
444,Derrinallum P-12 College,Derrinallum,26,0
,,,,
445,Heywood and District Secondary College,Heywood,26,0
,,,,
446,Holy Trinity Lutheran College,Horsham,26,0
,,,,
447,Lakeside College,Pakenham,26,0
,,,,
448,Robinvale P-12 College,Robinvale,26,0
,,,,
449,Sherbrooke Community School,Sassafras,26,0
,,,,
450,Springside West Secondary College,Fraser Rise,26,0
,,,,
451,Beechworth Secondary College,Beechworth,25,5.1
,,,,
452,Monterey Secondary College,Frankston North,25,4.3
,,,,
453,Hawkesdale College,Hawkesdale,25,3
,,,,
454,Ilim College Kiewa Campus Dallas,Dallas,25,2.7
,,,,
455,St Arnaud Secondary College,St Arnaud,25,2.6
,,,,
456,Mount Hira College,Keysborough,25,2.4
,,,,
457,RMIT TAFE,Carlton,25,2.3
,,,,
458,Lalor Secondary College,Lalor,25,2.2
,,,,
