School_Name,School_Type,LGA_Name
Elmore Primary School,Primary,Greater Bendigo (C)
Dookie Primary School,Primary,Greater Shepparton (C)
Brighton Primary School,Primary,Bayside (C)
Natimuk Primary School,Primary,Horsham (RC)
Murtoa P-12 College,Pri/Sec,Yarriambiack (S)
Big Hill Primary School,Primary,Greater Bendigo (C)
Clunes Primary School,Primary,Hepburn (S)
Marnoo Primary School,Primary,Northern Grampians (S)
Beechworth Primary School,Primary,Indigo (S)
Ardmona Primary School,Primary,Greater Shepparton (C)
Kilmore Primary School,Primary,Mitchell (S)
Macarthur Primary School,Primary,Moyne (S)
Barwon Heads Primary School,Primary,Greater Geelong (C)
Keilor Primary School,Primary,Brimbank (C)
Dunolly Primary School,Primary,Central Goldfields (S)
Springhurst Primary School,Primary,Wangaratta (RC)
Dixons Creek Primary School,Primary,Yarra Ranges (S)
Trentham District Primary School,Primary,Hepburn (S)
Warrenheip Primary School,Primary,Ballarat (C)
Maiden Gully Primary School,Primary,Greater Bendigo (C)
Rupanyup Primary School,Primary,Yarriambiack (S)
Goornong Primary School,Primary,Greater Bendigo (C)
Oakleigh Primary School,Primary,Monash (C)
Ceres Primary School,Primary,Greater Geelong (C)
Malvern Central School,Primary,Stonnington (C)
Daylesford Primary School,Primary,Hepburn (S)
Mooroopna North Primary School,Primary,Greater Shepparton (C)
Swan Reach Primary School,Primary,East Gippsland (S)
Amphitheatre Primary School,Primary,Pyrenees (S)
Deans Marsh Primary School,Primary,Surf Coast (S)
Drysdale Primary School,Primary,Greater Geelong (C)
St Arnaud Primary School,Primary,Northern Grampians (S)
Nullawarre and District Primary School,Primary,Moyne (S)
Macedon Primary School,Primary,Macedon Ranges (S)
Arthurs Creek Primary School,Primary,Nillumbik (S)
Rye Primary School,Primary,Mornington Peninsula (S)
Buxton Primary School,Primary,Murrindindi (S)
Moonambel Primary School,Primary,Pyrenees (S)
Baringhup Primary School,Primary,Mount Alexander (S)
Longford Primary School,Primary,Wellington (S)
Harkaway Primary School,Primary,Casey (C)
Balnarring Primary School,Primary,Mornington Peninsula (S)
Carraragarmungee Primary School,Primary,Wangaratta (RC)
Euroa Primary School,Primary,Strathbogie (S)
Pyramid Hill College,Pri/Sec,Loddon (S)
Shepparton East Primary School,Primary,Greater Shepparton (C)
Nicholson Primary School,Primary,East Gippsland (S)
Kialla West Primary School,Primary,Greater Shepparton (C)
Miners Rest Primary School,Primary,Ballarat (C)
Glenrowan Primary School,Primary,Wangaratta (RC)
Warrnambool Primary School,Primary,Warrnambool (C)
Devenish Primary School,Primary,Benalla (RC)
Undera Primary School,Primary,Greater Shepparton (C)
Dederang Primary School,Primary,Alpine (S)
Eppalock Primary School,Primary,Greater Bendigo (C)
Silvan Primary School,Primary,Yarra Ranges (S)
Wendouree Primary School,Primary,Ballarat (C)
Lancaster Primary School,Primary,Campaspe (S)
Raywood Primary School,Primary,Greater Bendigo (C)
Drummond Primary School,Primary,Hepburn (S)
Puckapunyal Primary School,Primary,Mitchell (S)
Landsborough Primary School,Primary,Pyrenees (S)
Lysterfield Primary School,Primary,Knox (C)
Winton Primary School,Primary,Benalla (RC)
Merrigum Primary School,Primary,Greater Shepparton (C)
Bethanga Primary School,Primary,Towong (S)
Abbotsford Primary School,Primary,Yarra (C)
Newtown Primary School,Primary,Greater Geelong (C)
Windsor Primary School,Primary,Stonnington (C)
Narre Warren North Primary School,Primary,Casey (C)
Buchan Primary School,Primary,East Gippsland (S)
Anakie Primary School,Primary,Greater Geelong (C)
Moolap Primary School,Primary,Greater Geelong (C)
Footscray City Primary School,Primary,Maribyrnong (C)
Newham Primary School,Primary,Macedon Ranges (S)
Plenty Parklands Primary School,Primary,Whittlesea (C)
White Hills Primary School,Primary,Greater Bendigo (C)
Mount Egerton Primary School,Primary,Moorabool (S)
Drouin Primary School,Primary,Baw Baw (S)
Wunghnu Primary School,Primary,Moira (S)
Maroona Primary School,Primary,Ararat (RC)
Jindivick Primary School,Primary,Baw Baw (S)
Talgarno Primary School,Primary,Towong (S)
Bungaree Primary School,Primary,Moorabool (S)
Little River Primary School,Primary,Wyndham (C)
Cowwarr Primary School,Primary,Wellington (S)
Morang South Primary School,Primary,Whittlesea (C)
Camp Hill Primary School,Primary,Greater Bendigo (C)
Pyalong Primary School,Primary,Mitchell (S)
Winchelsea Primary School,Primary,Surf Coast (S)
Buln Buln Primary School,Primary,Baw Baw (S)
Macarthur Street Primary School,Primary,Ballarat (C)
Elliminyt Primary School,Primary,Colac-Otway (S)
Mornington Primary School,Primary,Mornington Peninsula (S)
Hamilton North Primary School,Primary,Southern Grampians (S)
Mount Blowhard Primary School,Primary,Ballarat (C)
Creswick North Primary School,Primary,Hepburn (S)
Black Hill Primary School,Primary,Ballarat (C)
Brighton Beach Primary School,Primary,Bayside (C)
Castlemaine North Primary School,Primary,Mount Alexander (S)
Yarrambat Primary School,Primary,Nillumbik (S)
Casterton Primary School,Primary,Glenelg (S)
Nathalia Primary School,Primary,Moira (S)
Chilwell Primary School,Primary,Greater Geelong (C)
Greensborough Primary School,Primary,Banyule (C)
Teesdale Primary School,Primary,Golden Plains (S)
Cranbourne Primary School,Primary,Casey (C)
Katamatite Primary School,Primary,Moira (S)
Buangor Primary School,Primary,Ararat (RC)
Leitchville Primary School,Primary,Gannawarra (S)
Whittlesea Primary School,Primary,Whittlesea (C)
Little Bendigo Primary School,Primary,Ballarat (C)
Urquhart Park Primary School,Primary,Ballarat (C)
Warragul Primary School,Primary,Baw Baw (S)
Kangaroo Ground Primary School,Primary,Nillumbik (S)
Traralgon South Primary School,Primary,Latrobe (C)
Coleraine Primary School,Primary,Southern Grampians (S)
Lake Charm Primary School,Primary,Gannawarra (S)
Ripplebrook Primary School,Primary,Baw Baw (S)
Numurkah Primary School,Primary,Moira (S)
Moe (Albert Street) Primary School,Primary,Latrobe (C)
Geelong South Primary School,Primary,Greater Geelong (C)
Bayswater Primary School,Primary,Knox (C)
Minyip Primary School,Primary,Yarriambiack (S)
Mulgrave Primary School,Primary,Monash (C)
Yarragon Primary School,Primary,Baw Baw (S)
Tyers Primary School,Primary,Latrobe (C)
Trafalgar Primary School,Primary,Baw Baw (S)
Kinglake Primary School,Primary,Murrindindi (S)
Ellinbank Primary School,Primary,Baw Baw (S)
Tambo Upper Primary School,Primary,East Gippsland (S)
Baranduda Primary School,Primary,Wodonga (C)
Tungamah Primary School,Primary,Moira (S)
Bunyip Primary School,Primary,Cardinia (S)
Gunbower Primary School,Primary,Campaspe (S)
Nar Nar Goon Primary School,Primary,Cardinia (S)
Toora Primary School,Primary,South Gippsland (S)
Montrose Primary School,Primary,Yarra Ranges (S)
Koondrook Primary School,Primary,Gannawarra (S)
Katunga South Primary School,Primary,Moira (S)
Magpie Primary School,Primary,Ballarat (C)
Tawonga Primary School,Primary,Alpine (S)
Narracan Primary School,Primary,Baw Baw (S)
Drouin South Primary School,Primary,Baw Baw (S)
Eskdale Primary School,Primary,Towong (S)
Darnum Primary School,Primary,Baw Baw (S)
Moorooduc Primary School,Primary,Mornington Peninsula (S)
The Basin Primary School,Primary,Knox (C)
Paynesville Primary School,Primary,East Gippsland (S)
Epsom Primary School,Primary,Greater Bendigo (C)
Kensington Primary School,Primary,Melbourne (C)
Hazelwood North Primary School,Primary,Latrobe (C)
Mirboo North Primary School,Primary,South Gippsland (S)
Yinnar Primary School,Primary,Latrobe (C)
Neerim South Primary School,Primary,Baw Baw (S)
Ivanhoe Primary School,Primary,Banyule (C)
Portarlington Primary School,Primary,Greater Geelong (C)
Menzies Creek Primary School,Primary,Yarra Ranges (S)
St Kilda Park Primary School,Primary,Port Phillip (C)
Labertouche Primary School,Primary,Baw Baw (S)
Diggers Rest Primary School,Primary,Melton (C)
Longwarry Primary School,Primary,Baw Baw (S)
Gembrook Primary School,Primary,Cardinia (S)
Wurruk Primary School,Primary,Wellington (S)
Willow Grove Primary School,Primary,Baw Baw (S)
Hoddles Creek Primary School,Primary,Yarra Ranges (S)
Beaconsfield Upper Primary School,Primary,Cardinia (S)
Congupna Primary School,Primary,Greater Shepparton (C)
Redesdale Mia Mia Primary School,Primary,Greater Bendigo (C)
Malvern Primary School,Primary,Stonnington (C)
Launching Place Primary School,Primary,Yarra Ranges (S)
Carlton Gardens Primary School,Primary,Melbourne (C)
Ascot Vale Primary School,Primary,Moonee Valley (C)
Boolarra Primary School,Primary,Latrobe (C)
Rosebud Primary School,Primary,Mornington Peninsula (S)
Koo Wee Rup Primary School,Primary,Cardinia (S)
Armadale Primary School,Primary,Stonnington (C)
Osborne Primary School,Primary,Mornington Peninsula (S)
Somerville Primary School,Primary,Mornington Peninsula (S)
Willaura Primary School,Primary,Ararat (RC)
Echuca East Primary School,Primary,Campaspe (S)
Lakes Entrance Primary School,Primary,East Gippsland (S)
Myrrhee Primary School,Primary,Wangaratta (RC)
Longwood Primary School,Primary,Strathbogie (S)
Forrest Primary School,Primary,Colac-Otway (S)
Fairfield Primary School,Primary,Darebin (C)
Nilma Primary School,Primary,Baw Baw (S)
Garfield Primary School,Primary,Cardinia (S)
Yinnar South Primary School,Primary,Latrobe (C)
Officer Primary School,Primary,Cardinia (S)
Brunswick South Primary School,Primary,Moreland (C)
Orbost Primary School,Primary,East Gippsland (S)
Inverloch Primary School,Primary,Bass Coast (S)
Surrey Hills Primary School,Primary,Whitehorse (C)
Montague Continuing Education Centre,Special,Port Phillip (C)
Strathmerton Primary School,Primary,Moira (S)
Laharum Primary School,Primary,Horsham (RC)
Walwa Primary School,Primary,Towong (S)
Middle Park Primary School,Primary,Port Phillip (C)
Seville Primary School,Primary,Yarra Ranges (S)
Yarraville West Primary School,Primary,Maribyrnong (C)
Moreland Primary School,Primary,Moreland (C)
Tanjil South Primary School,Primary,Baw Baw (S)
Pomonal Primary School,Primary,Ararat (RC)
Elsternwick Primary School,Primary,Bayside (C)
Glengarry Primary School,Primary,Latrobe (C)
Carnegie Primary School,Primary,Glen Eira (C)
Lang Lang Primary School,Primary,Cardinia (S)
Croydon Primary School,Primary,Maroondah (C)
Moonee Ponds West Primary School,Primary,Moonee Valley (C)
Mitcham Primary School,Primary,Whitehorse (C)
Loch Primary School,Primary,South Gippsland (S)
Mildura Primary School,Primary,Mildura (RC)
Blackburn Primary School,Primary,Whitehorse (C)
Newmerella Primary School,Primary,East Gippsland (S)
Port Melbourne Primary School,Primary,Port Phillip (C)
Auburn Primary School,Primary,Boroondara (C)
Mentone Primary School,Primary,Kingston (C)
Princes Hill Primary School,Primary,Yarra (C)
Gruyere Primary School,Primary,Yarra Ranges (S)
Research Primary School,Primary,Nillumbik (S)
Pearcedale Primary School,Primary,Casey (C)
Lindenow South Primary School,Primary,East Gippsland (S)
Thorpdale Primary School,Primary,Baw Baw (S)
St Albans Primary School,Primary,Brimbank (C)
Leongatha Primary School,Primary,South Gippsland (S)
Jeparit Primary School,Primary,Hindmarsh (S)
Toorak Primary School,Primary,Stonnington (C)
Baxter Primary School,Primary,Mornington Peninsula (S)
Fish Creek and District Primary School,Primary,South Gippsland (S)
Beaconsfield Primary School,Primary,Cardinia (S)
Metung Primary School,Primary,East Gippsland (S)
Newhaven Primary School,Primary,Bass Coast (S)
Halls Gap Primary School,Primary,Northern Grampians (S)
Tallygaroopna Primary School,Primary,Greater Shepparton (C)
Ormond Primary School,Primary,Glen Eira (C)
Korumburra Primary School,Primary,South Gippsland (S)
Crib Point Primary School,Primary,Mornington Peninsula (S)
Pascoe Vale Primary School,Primary,Moreland (C)
Flowerdale Primary School,Primary,Murrindindi (S)
Ocean Grove Primary School,Primary,Greater Geelong (C)
Beulah Primary School,Primary,Yarriambiack (S)
Merri Creek Primary School,Primary,Yarra (C)
Sunshine Primary School,Primary,Brimbank (C)
Tyabb Primary School,Primary,Mornington Peninsula (S)
Wales Street Primary School,Primary,Darebin (C)
Upper Sandy Creek Primary School,Primary,Indigo (S)
Spensley Street Primary School,Primary,Yarra (C)
Kew East Primary School,Primary,Boroondara (C)
Nichols Point Primary School,Primary,Mildura (RC)
Irymple Primary School,Primary,Mildura (RC)
Brunswick East Primary School,Primary,Moreland (C)
Eagle Point Primary School,Primary,East Gippsland (S)
Yarra Junction Primary School,Primary,Yarra Ranges (S)
Sassafras Primary School,Primary,Yarra Ranges (S)
Ferny Creek Primary School,Primary,Yarra Ranges (S)
Toolangi Primary School,Primary,Murrindindi (S)
Wonga Park Primary School,Primary,Manningham (C)
Kinglake West Primary School,Primary,Murrindindi (S)
Perseverance Primary School,Primary,Unincorporated Vic
Monbulk Primary School,Primary,Yarra Ranges (S)
Lake Boga Primary School,Primary,Swan Hill (RC)
Chum Creek Primary School,Primary,Yarra Ranges (S)
