School_Name,School_Type,LGA_Name
St Johns School,Primary,Warrnambool (C)
St Catherines School,Pri/Sec,Stonnington (C)
Lowther Hall Anglican Grammar School,Pri/Sec,Moonee Valley (C)
St Brigids College,Secondary,Horsham (RC)
St Aloysius School,Primary,Glen Eira (C)
St Joan of Arc School,Primary,Bayside (C)
St Johns School,Primary,Strathbogie (S)
Penleigh and Essendon Grammar School,Pri/Sec,Moonee Valley (C)
St Johns School,Primary,Maribyrnong (C)
St Josephs School,Primary,Moira (S)
Shelford Girls Grammar,Pri/Sec,Glen Eira (C)
Mary Immaculate School,Primary,Banyule (C)
St Josephs School,Primary,Strathbogie (S)
Our Lady of Lourdes School,Primary,Stonnington (C)
St Josephs School,Primary,East Gippsland (S)
Mentone Grammar School,Pri/Sec,Kingston (C)
Ivanhoe Girls Grammar School,Pri/Sec,Banyule (C)
St Marys School,Primary,Alpine (S)
Carey Baptist Grammar School,Pri/Sec,Boroondara (C)
Kilvington Grammar School,Pri/Sec,Glen Eira (C)
Haileybury College,Pri/Sec,Greater Dandenong (C)
St Thereses School,Primary,Moonee Valley (C)
Sacred Heart School,Primary,Murrindindi (S)
Our Lady of Good Counsel School,Primary,Boroondara (C)
Strathcona Baptist Girls Grammar School,Pri/Sec,Boroondara (C)
St Kevins School,Primary,Glen Eira (C)
Mentone Girls Grammar School,Pri/Sec,Kingston (C)
St Josephs School,Primary,Kingston (C)
Gippsland Grammar,Pri/Sec,Wellington (S)
St Finbars School,Primary,Bayside (C)
Loreto Mandeville Hall,Pri/Sec,Stonnington (C)
St Dominics School,Primary,Boroondara (C)
St Marys School,Primary,Bayside (C)
Holy Rosary School,Primary,Greater Bendigo (C)
St Marys School,Primary,Gannawarra (S)
Camberwell Grammar School,Pri/Sec,Boroondara (C)
St Josephs School,Primary,Mornington Peninsula (S)
Brighton Grammar School,Pri/Sec,Bayside (C)
St Fidelis School,Primary,Moreland (C)
Huntingtower School,Pri/Sec,Monash (C)
St Francis Xaviers School,Primary,Whitehorse (C)
St Marys School,Primary,Hobsons Bay (C)
Our Lady Help of Christians School,Primary,Nillumbik (S)
Our Lady of the Sacred Heart School,Primary,Mildura (RC)
St Francis Xavier School,Primary,Frankston (C)
Our Lady of Sion College,Secondary,Whitehorse (C)
St Gabriels School,Primary,Darebin (C)
St Pauls School,Primary,Glen Eira (C)
St Josephs School,Primary,Bayside (C)
Salesian College,Secondary,Hume (C)
St Patricks School,Primary,Wellington (S)
Kingswood College,Pri/Sec,Whitehorse (C)
St Josephs School,Primary,Baw Baw (S)
St Patricks School,Primary,Glen Eira (C)
St Rochs School,Primary,Stonnington (C)
St Margarets School,Pri/Sec,Casey (C)
Camberwell Girls Grammar School,Pri/Sec,Boroondara (C)
St Annes School,Primary,Boroondara (C)
Our Lady of Perpetual Help School,Primary,Maroondah (C)
St Francis Xaviers School,Primary,Banyule (C)
St Josephs School,Primary,Mornington Peninsula (S)
St Cecilias School,Primary,Boroondara (C)
St Josephs School,Primary,Glen Eira (C)
St Josephs School,Primary,Mildura (RC)
"Preshil, The Margaret Lyttle Memorial School",Pri/Sec,Boroondara (C)
St Peters School,Primary,Whittlesea (C)
Santa Maria College,Secondary,Darebin (C)
Sacred Heart School,Primary,Monash (C)
St Marks School,Primary,Moreland (C)
St John the Baptist School,Primary,Knox (C)
St Johns School,Primary,Whitehorse (C)
St Marys School,Primary,Greater Shepparton (C)
St Raphaels School,Primary,Darebin (C)
St Kevins College,Pri/Sec,Stonnington (C)
St John the Baptists School,Primary,Cardinia (S)
St Vincent de Pauls School,Primary,Moonee Valley (C)
St Josephs College Geelong,Secondary,Greater Geelong (C)
St Josephs School,Primary,Greater Dandenong (C)
St Bedes College,Secondary,Kingston (C)
Holy Name School,Primary,Darebin (C)
Siena College,Secondary,Boroondara (C)
St Bernards School,Primary,Moreland (C)
St Benedicts School,Primary,Whitehorse (C)
St Oliver Plunketts School,Primary,Moreland (C)
Corpus Christi School,Primary,Maribyrnong (C)
St Roberts School,Primary,Greater Geelong (C)
St Bernards College,Secondary,Moonee Valley (C)
Whitefriars College,Secondary,Manningham (C)
St Michaels School,Primary,Boroondara (C)
St Marys School,Primary,Moorabool (S)
Our Lady of Sacred Heart College,Secondary,Glen Eira (C)
St Bedes School,Primary,Boroondara (C)
Salesian College Chadstone,Secondary,Monash (C)
St Patricks School,Primary,Hindmarsh (S)
St Margarets School,Primary,Greater Geelong (C)
Mount Scopus Memorial College,Pri/Sec,Whitehorse (C)
St Kierans School,Primary,Latrobe (C)
Marcellin College,Secondary,Manningham (C)
Marist Sion College,Secondary,Baw Baw (S)
Henderson College,Pri/Sec,Mildura (RC)
St Theresas School,Primary,Brimbank (C)
St Bernadettes School,Primary,Banyule (C)
St Colmans School,Primary,Moyne (S)
St Agnes School,Primary,Bayside (C)
Our Lady of the Assumption School,Primary,Kingston (C)
Nunawading Christian College-Primary,Primary,Whitehorse (C)
Sacred Heart School,Primary,Maroondah (C)
St Malachys School,Primary,West Wimmera (S)
Heritage College,Pri/Sec,Casey (C)
St Marys School,Primary,Murrindindi (S)
Resurrection House,Primary,Moonee Valley (C)
Adass Israel School,Pri/Sec,Glen Eira (C)
Holy Spirit School,Primary,Darebin (C)
Sacred Heart School,Primary,Brimbank (C)
St Thomas The Apostle School,Primary,Whitehorse (C)
St Marys School,Primary,Campaspe (S)
St Michaels School,Primary,Wellington (S)
St Thomas Aquinas School,Primary,Greater Geelong (C)
St Pius X School,Primary,Banyule (C)
St Margaret Marys School,Primary,Hobsons Bay (C)
Monivae College,Secondary,Southern Grampians (S)
St Mary Magdalens Parish Primary School,Primary,Monash (C)
St Anthonys School,Primary,Greater Dandenong (C)
St Peters School,Primary,Monash (C)
St Josephs School,Primary,Yarriambiack (S)
Yeshivah College,Pri/Sec,Glen Eira (C)
St John Boscos School,Primary,Moonee Valley (C)
Holy Family School,Primary,Greater Geelong (C)
Holy Spirit Parish School,Primary,Greater Geelong (C)
St Marys School,Primary,Banyule (C)
Mother of God School,Primary,Brimbank (C)
St Peter Chanel School,Primary,Brimbank (C)
Christ the King Primary School,Primary,Maribyrnong (C)
Corpus Christi School,Primary,Moreland (C)
Killester College,Secondary,Greater Dandenong (C)
St Pauls School,Primary,Brimbank (C)
St Patricks School,Primary,Loddon (S)
Clonard College,Secondary,Greater Geelong (C)
Stella Maris School,Primary,Bayside (C)
St Thereses School,Primary,Greater Bendigo (C)
St Bernadettes School,Primary,Brimbank (C)
St James School,Primary,Ballarat (C)
Rossbourne School,Special,Boroondara (C)
Sacred Heart School,Primary,Mildura (RC)
Beth Rivkah Ladies College,Pri/Sec,Glen Eira (C)
St Margarets Primary School,Primary,Maribyrnong (C)
Immaculate Heart of Mary School,Primary,Latrobe (C)
Holy Family School,Primary,Monash (C)
St Gerards School,Primary,Greater Dandenong (C)
St Mels School,Primary,Greater Shepparton (C)
Our Lady of Perpetual Succour School,Primary,Whitehorse (C)
St Catherines School,Primary,Kingston (C)
Sacred Heart Girls College,Secondary,Monash (C)
St Vincent de Pauls School,Primary,Latrobe (C)
St Peters Lutheran School,Primary,Hindmarsh (S)
St Marys School,Primary,Buloke (S)
St Josephs School,Primary,Yarra Ranges (S)
St Stephens School,Primary,Darebin (C)
St Brendans School,Primary,East Gippsland (S)
St Martin of Tours School,Primary,Banyule (C)
St Michaels School,Primary,Towong (S)
Christ Our Holy Redeemer School,Primary,Monash (C)
Our Lady of the Nativity School,Primary,Moonee Valley (C)
St Johns Regional College,Secondary,Greater Dandenong (C)
Nagle College,Secondary,East Gippsland (S)
St Marys School,Pri/Sec,Swan Hill (RC)
Our Ladys School,Primary,Wangaratta (RC)
Emmaus College,Secondary,Whitehorse (C)
St Dominics School,Primary,Hume (C)
St Patricks School,Primary,Campaspe (S)
St Bridgets School,Primary,Boroondara (C)
St Leonards School,Primary,Monash (C)
St Scholasticas School,Primary,Whitehorse (C)
St Christophers School,Primary,Monash (C)
St John Vianneys School,Primary,Kingston (C)
Ss Peter & Pauls School,Primary,Manningham (C)
St Mary of the Angels College,Secondary,Moira (S)
Holy Family School,Primary,Casey (C)
Aquinas College,Secondary,Maroondah (C)
Leibler Yavneh College,Pri/Sec,Glen Eira (C)
Peninsula Grammar,Pri/Sec,Mornington Peninsula (S)
St Matthews School,Primary,Moreland (C)
St John Vianneys School,Primary,Monash (C)
St Lukes School,Primary,Whittlesea (C)
St Francis de Sales School,Primary,Moreland (C)
St Johns Lutheran School Geelong,Primary,Greater Geelong (C)
St Thomas Mores School,Primary,Yarra Ranges (S)
St Pius X School,Primary,Warrnambool (C)
St Christophers School,Primary,Moonee Valley (C)
Sacred Heart School,Primary,Colac-Otway (S)
Sacred Heart School,Primary,Nillumbik (S)
St Michaels School,Primary,Casey (C)
Ave Maria College,Secondary,Moonee Valley (C)
Bialik College,Pri/Sec,Boroondara (C)
Our Lady of the Way School,Primary,Darebin (C)
St Luke the Evangelist School,Primary,Whitehorse (C)
St Bernards School,Primary,Wangaratta (RC)
Our Lady Help of Christians School,Primary,Yarriambiack (S)
Luther College,Secondary,Maroondah (C)
Marian College Sunshine West,Secondary,Brimbank (C)
Mount St Joseph Girls College,Secondary,Hobsons Bay (C)
Our Lady Help of Christians School,Primary,Ballarat (C)
St Clement of Rome School,Primary,Manningham (C)
St Josephs Primary School,Primary,Knox (C)
Sacred Heart School,Primary,Towong (S)
Mater Christi College,Secondary,Yarra Ranges (S)
Our Lady of Lourdes School,Primary,Knox (C)
St Josephs College Ferntree Gully,Secondary,Knox (C)
St Pauls College Balwyn,Special,Boroondara (C)
Annunciation School,Primary,Hobsons Bay (C)
St Louis de Montforts School,Primary,Kingston (C)
St Thomas Mores School,Primary,Moreland (C)
Avila College,Secondary,Monash (C)
St Philips School,Primary,Whitehorse (C)
Holy Child School,Primary,Hume (C)
Emmanuel College Melbourne,Secondary,Hobsons Bay (C)
St Peter Julian Eymard,Primary,Yarra Ranges (S)
St Damians School,Primary,Whittlesea (C)
St Monicas College,Secondary,Whittlesea (C)
Yarra Valley Grammar School,Pri/Sec,Maroondah (C)
Christ the King School,Primary,Greater Geelong (C)
Mercy College,Secondary,Moreland (C)
St Timothys School,Primary,Whitehorse (C)
St Marys School,Primary,Wellington (S)
St Macartans School,Primary,Mornington Peninsula (S)
St Johns School,Primary,Frankston (C)
St Marys College for the Deaf,Special,Knox (C)
John Paul College,Secondary,Frankston (C)
St Annes School,Primary,Frankston (C)
Mazenod College,Secondary,Monash (C)
St Martin de Porres School,Primary,Moonee Valley (C)
St Gregory the Great School,Primary,Manningham (C)
Maranatha Christian School,Pri/Sec,Casey (C)
St Kevins School,Primary,Manningham (C)
St James School,Primary,Whitehorse (C)
Good Shepherd School,Primary,Monash (C)
MacKillop Catholic Regional College,Secondary,Wyndham (C)
St James  College,Secondary,Glen Eira (C)
St Thomas School,Primary,Wellington (S)
St Leo the Great Primary School,Primary,Hobsons Bay (C)
St Peters School,Primary,Moonee Valley (C)
Our Lady Help of Christians School,Primary,Warrnambool (C)
Marian College Myrtleford,Secondary,Alpine (S)
St Martin de Porres School,Primary,Hobsons Bay (C)
St Jude the Apostle School,Primary,Knox (C)
St Monicas School,Primary,Wodonga (C)
Mount Evelyn Christian School,Pri/Sec,Yarra Ranges (S)
Melbourne Rudolf Steiner School,Pri/Sec,Maroondah (C)
St Peters School,Primary,Greater Bendigo (C)
St Marks School,Primary,Kingston (C)
The Currajong School,Special,Stonnington (C)
Nunawading Christian College,Secondary,Whitehorse (C)
Eltham College of Education,Pri/Sec,Nillumbik (S)
Holy Eucharist School,Primary,Brimbank (C)
St Pauls Primary School,Primary,Mildura (RC)
Learning Co-Operative School,Primary,Nillumbik (S)
St Peter Apostle School,Primary,Wyndham (C)
Donvale Christian College,Pri/Sec,Manningham (C)
Berengarra School,Special,Whitehorse (C)
Sholem Aleichem College,Primary,Glen Eira (C)
St John XXIII Primary School,Primary,Whittlesea (C)
Braemar College,Pri/Sec,Macedon Ranges (S)
School of the Good Shepherd,Primary,Hume (C)
St Agathas School,Primary,Casey (C)
Resurrection School,Primary,Greater Dandenong (C)
St Dominics School,Primary,Melton (C)
St Francis Xavier School,Primary,Greater Geelong (C)
Gilson College,Pri/Sec,Melton (C)
Cheshire School,Special,Monash (C)
Galen College,Secondary,Wangaratta (RC)
Holy Spirit School,Primary,Maroondah (C)
Lumen Christi School,Primary,Latrobe (C)
Holy Saviour Parish School,Primary,Whitehorse (C)
St Clares School,Primary,Whittlesea (C)
Nhill Lutheran School,Primary,Hindmarsh (S)
St Annes School,Primary,Hume (C)
Our Lady of the Pines School,Primary,Manningham (C)
St Judes School,Primary,Frankston (C)
St Pauls Kealba Catholic School,Primary,Brimbank (C)
St Elizabeths School,Primary,Greater Dandenong (C)
St Joseph the Worker School,Primary,Darebin (C)
Resurrection School,Primary,Brimbank (C)
Catholic Regional College Sydenham,Secondary,Brimbank (C)
St Francis Xavier College,Secondary,Cardinia (S)
Holy Trinity Lutheran College,Pri/Sec,Horsham (RC)
Plenty Valley International Montessori School,Primary,Banyule (C)
Waverley Christian College,Pri/Sec,Knox (C)
The King David School,Pri/Sec,Stonnington (C)
Westbourne Grammar School,Pri/Sec,Wyndham (C)
Nazareth School,Primary,Greater Geelong (C)
St Augustines Primary School,Primary,Brimbank (C)
St Anthonys School,Primary,Melton (C)
St Thomas the Apostle School,Primary,Nillumbik (S)
St Lukes School,Primary,Knox (C)
St Peters School,Primary,Brimbank (C)
Northside Christian College,Pri/Sec,Whittlesea (C)
St Johns College Preston,Pri/Sec,Darebin (C)
Good Shepherd Lutheran Primary School,Primary,Maroondah (C)
Oxley Christian College,Pri/Sec,Yarra Ranges (S)
Olivet Christian College,Pri/Sec,Mount Alexander (S)
Covenant College,Pri/Sec,Greater Geelong (C)
Mountain District Christian School,Pri/Sec,Yarra Ranges (S)
Catholic College Wodonga,Secondary,Wodonga (C)
Caroline Chisholm Catholic College,Secondary,Maribyrnong (C)
St Thomas More School,Primary,Ballarat (C)
St Marys School,Primary,Yarra Ranges (S)
St Annes School,Primary,Manningham (C)
St Gabriels School,Primary,Latrobe (C)
Our Ladys School,Primary,Hume (C)
St Augustines School,Primary,Frankston (C)
St Francis of Assisi School,Primary,Whittlesea (C)
Loyola College,Secondary,Banyule (C)
Catholic Regional College Melton,Secondary,Melton (C)
Newhaven College,Pri/Sec,Bass Coast (S)
St Johns Lutheran School,Primary,Glenelg (S)
Christian College Geelong Waurun Ponds,Pri/Sec,Greater Geelong (C)
Billanook College,Pri/Sec,Yarra Ranges (S)
Fitzroy Community School,Primary,Yarra (C)
St Paul Apostle South School,Primary,Casey (C)
St Andrews School,Primary,Kingston (C)
St Thomas Mores School,Primary,Mornington Peninsula (S)
St Francis School,Primary,Moira (S)
Creek Street Christian College,Pri/Sec,Greater Bendigo (C)
Good Shepherd College,Pri/Sec,Southern Grampians (S)
Plenty Valley Christian College,Pri/Sec,Nillumbik (S)
St James the Apostle School,Primary,Wyndham (C)
St Simons School,Primary,Knox (C)
Queen of Peace Primary School,Primary,Hobsons Bay (C)
Don Bosco School,Primary,Casey (C)
Our Lady Star of the Sea School,Primary,Greater Geelong (C)
Catholic Regional College Institute of Training,Secondary,Brimbank (C)
Catholic Regional College North Keilor,Secondary,Brimbank (C)
Village School,Primary,Maroondah (C)
Bayside Christian College,Pri/Sec,Frankston (C)
Andale School,Special,Boroondara (C)
Trinity Lutheran College,Pri/Sec,Mildura (RC)
Goulburn Valley Grammar School,Pri/Sec,Greater Shepparton (C)
The Knox School,Pri/Sec,Knox (C)
Heathdale Christian College,Pri/Sec,Wyndham (C)
Hillcrest Christian College,Pri/Sec,Casey (C)
St Pauls Anglican Grammar School,Pri/Sec,Baw Baw (S)
Sunshine Christian School,Primary,Brimbank (C)
Frank Dando Sports Academy,Special,Monash (C)
Beaconhills College,Pri/Sec,Cardinia (S)
Ghilgai School,Primary,Yarra Ranges (S)
St Bernadettes Catholic Primary School,Primary,Knox (C)
St Catherines School,Primary,Whittlesea (C)
St Anthonys School,Primary,Greater Geelong (C)
St Marys School,Primary,Whittlesea (C)
St Charles Borromeo School,Primary,Manningham (C)
River City Christian College,Pri/Sec,Campaspe (S)
Belgrave Heights Christian School,Pri/Sec,Yarra Ranges (S)
Oakleigh Grammar,Pri/Sec,Monash (C)
Worawa Aboriginal College,Special,Yarra Ranges (S)
Kerang Christian College,Pri/Sec,Gannawarra (S)
St Andrews Christian College,Pri/Sec,Knox (C)
Chairo Christian School,Pri/Sec,Baw Baw (S)
Australian International Academy,Pri/Sec,Moreland (C)
Flinders Christian Community College,Pri/Sec,Mornington Peninsula (S)
St Mary MacKillop Primary School,Primary,Brimbank (C)
St Catherine of Siena School,Primary,Melton (C)
St Pauls School,Primary,Yarra Ranges (S)
Our Lady of Fatima School,Primary,Mornington Peninsula (S)
St Justins School,Primary,Monash (C)
Grace Christian College Wodonga,Pri/Sec,Wodonga (C)
St Richards Primary School,Primary,Yarra Ranges (S)
Holy Trinity School,Primary,Knox (C)
Melton Christian College,Pri/Sec,Melton (C)
Mansfield Rudolf Steiner School,Pri/Sec,Mansfield (S)
St Paul Apostle North School,Primary,Casey (C)
Corpus Christi School,Primary,Wyndham (C)
Nazareth College,Secondary,Greater Dandenong (C)
St Therese School,Primary,Surf Coast (S)
Japanese School of Melbourne,Pri/Sec,Glen Eira (C)
Mary MacKillop Catholic College,Secondary,South Gippsland (S)
Kings College,Pri/Sec,Warrnambool (C)
Sophia Mundi Steiner School,Pri/Sec,Yarra (C)
Al-Taqwa College,Pri/Sec,Wyndham (C)
Overnewton Anglican College,Pri/Sec,Brimbank (C)
St Joachims School,Primary,Frankston (C)
Holy Trinity Primary School,Primary,Banyule (C)
St Carlo Borromeo School,Primary,Hume (C)
Little Yarra Steiner School,Pri/Sec,Yarra Ranges (S)
St Mary MacKillop College,Secondary,Swan Hill (RC)
St Kevins School,Primary,Casey (C)
Bacchus Marsh Grammar,Pri/Sec,Moorabool (S)
St Peters College,Secondary,Casey (C)
Lighthouse Christian College,Pri/Sec,Greater Dandenong (C)
Alphington Grammar School,Pri/Sec,Yarra (C)
St Thereses School,Primary,Casey (C)
St Itas School,Primary,Baw Baw (S)
Yarralinda School,Primary,Yarra Ranges (S)
Lumen Christi School,Primary,Ballarat (C)
Castlemaine Steiner School & Kindergarten,Pri/Sec,Mount Alexander (S)
The Kilmore International School,Pri/Sec,Mitchell (S)
St Marys Coptic Orthodox College,Pri/Sec,Hume (C)
Mansfield Autism Statewide Services,Special,Mansfield (S)
Minaret College Springvale,Pri/Sec,Greater Dandenong (C)
Victory Lutheran College,Pri/Sec,Wodonga (C)
Son Centre Christian College,Primary,Swan Hill (RC)
Girton Grammar School,Pri/Sec,Greater Bendigo (C)
St Francis of the Fields School,Primary,Greater Bendigo (C)
Galilee Regional Catholic Primary School,Primary,Port Phillip (C)
Casey Grammar School,Pri/Sec,Casey (C)
St Brendans School,Primary,Mornington Peninsula (S)
Mary MacKillop School,Primary,Casey (C)
Bethany Catholic Primary School,Primary,Wyndham (C)
Victory Christian College,Pri/Sec,Greater Bendigo (C)
Ilim College,Pri/Sec,Hume (C)
Penola Catholic College,Secondary,Hume (C)
Christian College Bellarine,Pri/Sec,Greater Geelong (C)
Good Samaritan Catholic Primary School,Primary,Hume (C)
Erasmus Primary School,Primary,Boroondara (C)
Kardinia International College,Pri/Sec,Greater Geelong (C)
Holy Cross Primary School,Primary,Macedon Ranges (S)
St Catherines Primary School,Primary,Casey (C)
Good News Lutheran College,Pri/Sec,Wyndham (C)
Sirius College,Pri/Sec,Hume (C)
Emmaus Catholic Primary School,Primary,Brimbank (C)
Red Rock Christian College,Pri/Sec,Hume (C)
Maharishi School of the Age of Enlightenment,Primary,Darebin (C)
Thomas Carr College,Secondary,Wyndham (C)
St Thomas Primary School,Primary,Greater Geelong (C)
Shepparton Christian College,Pri/Sec,Greater Shepparton (C)
Darul Ulum College of Victoria,Pri/Sec,Moreland (C)
St Thomas Aquinas College,Pri/Sec,Cardinia (S)
Bairnsdale Christian Community School,Primary,East Gippsland (S)
East Preston Islamic College,Pri/Sec,Darebin (C)
Clairvaux Catholic School,Primary,Greater Geelong (C)
Dandenong Ranges Steiner School,Primary,Cardinia (S)
Aitken College,Pri/Sec,Hume (C)
Alia College,Secondary,Boroondara (C)
Ballarat Steiner School,Primary,Ballarat (C)
Christian College Institute of Senior Education,Secondary,Greater Geelong (C)
Christ the Priest Catholic Primary School,Primary,Melton (C)
Freshwater Creek Steiner School,Primary,Surf Coast (S)
Gisborne Montessori School,Primary,Macedon Ranges (S)
Mt Hira College,Pri/Sec,Greater Dandenong (C)
Lumen Christi School,Primary,Wyndham (C)
Trinity Catholic Primary School,Primary,Casey (C)
Columba Catholic School,Primary,Cardinia (S)
Stotts Colleges,Secondary,Melbourne (C)
OneSchool Global Vic,Pri/Sec,Whittlesea (C)
Kamaruka,Special,Stonnington (C)
Geelong Baptist College,Pri/Sec,Greater Geelong (C)
Lavalla Catholic College,Secondary,Latrobe (C)
Mildura Christian College,Pri/Sec,Mildura (RC)
Haileybury Girls College,Pri/Sec,Greater Dandenong (C)
Antonine College,Pri/Sec,Moreland (C)
Ozford College,Secondary,Melbourne (C)
Berry Street Victoria,Special,Greater Dandenong (C)
Yesodei HaTorah College ,Pri/Sec,Port Phillip (C)
Cana Catholic Primary School,Primary,Melton (C)
Holmes Secondary College,Secondary,Melbourne (C)
St Lukes Catholic Primary School,Primary,Greater Shepparton (C)
"St Francis of Assisi Primary School, Wodonga",Primary,Wodonga (C)
Indie School Wodonga,Special,Wodonga (C)
Marymede Catholic College,Pri/Sec,Whittlesea (C)
Stella Maris Catholic Primary School,Primary,Wyndham (C)
Lakeside College,Pri/Sec,Cardinia (S)
Trinity Catholic School,Primary,Yarra (C)
DOXA School Bendigo,Special,Greater Bendigo (C)
Beechworth Montessori School,Primary,Indigo (S)
Balcombe Grammar School,Pri/Sec,Mornington Peninsula (S)
Catholic Regional College Caroline Springs,Secondary,Melton (C)
Ballarat Christian College,Pri/Sec,Ballarat (C)
Deutsche Schule Melbourne,Primary,Yarra (C)
Emmaus Catholic Primary School,Primary,Ballarat (C)
EdSpace,Special,Benalla (RC)
Kolbe Catholic College,Secondary,Hume (C)
Hume Anglican Grammar,Pri/Sec,Hume (C)
Lighthouse Christian College Cranbourne,Pri/Sec,Casey (C)
Mother Teresa School,Primary,Hume (C)
Geelong Lutheran College,Pri/Sec,Greater Geelong (C)
Our Lady of the Southern Cross,Primary,Wyndham (C)
Daylesford Dharma School,Primary,Hepburn (S)
St George Preca School,Primary,Melton (C)
St Josephs School,Primary,Whittlesea (C)
Al Siraat College,Pri/Sec,Whittlesea (C)
Community College Gippsland Ltd| ECG Community College,Special,Baw Baw (S)
"Borinya, Wangaratta Community Partnership",Special,Wangaratta (RC)
Woodleigh School,Pri/Sec,Frankston (C)
Shepparton ACE Secondary College,Secondary,Greater Shepparton (C)
St Brigids School,Primary,Cardinia (S)
St Francis de Sales Catholic Primary School,Primary,Casey (C)
St Lawrence Catholic Primary School,Primary,Brimbank (C)
Christadelphian Heritage College Melbourne,Primary,Knox (C)
Melbourne Grammar School,Pri/Sec,Melbourne (C)
Islamic College of Melbourne,Pri/Sec,Wyndham (C)
Southern Cross Grammar,Pri/Sec,Melton (C)
MacKillop Specialist School,Special,Greater Geelong (C)
Cornish College,Pri/Sec,Greater Dandenong (C)
Melbourne Montessori School,Pri/Sec,Glen Eira (C)
St Francis of Assisi Catholic Primary School,Primary,Wyndham (C)
St Josephs Flexible Learning Centre Melbourne,Special,Melbourne (C)
Glenroy Private,Pri/Sec,Moreland (C)
Cathedral College,Pri/Sec,Wangaratta (RC)
Koonwarra Village School,Primary,South Gippsland (S)
Divrei Emineh,Pri/Sec,Glen Eira (C)
Wild Cherry School,Primary,East Gippsland (S)
Australian Christian College Hume,Primary,Benalla (RC)
St Mary of the Cross MacKillop Catholic Parish Primary School,Primary,Whittlesea (C)
St Mary of the Cross Catholic Primary School,Primary,Wyndham (C)
St Thomas the Apostle Catholic Primary School,Primary,Casey (C)
Cire Community School,Special,Yarra Ranges (S)
St John the Apostle Catholic Primary School,Primary,Wyndham (C)
St Clares Catholic Primary School,Primary,Wyndham (C)
St Clares Primary School,Primary,Cardinia (S)
St Paul the Apostle Catholic Primary School,Primary,Whittlesea (C)
Cobram Anglican Grammar School,Pri/Sec,Moira (S)
Marist College Bendigo,Pri/Sec,Greater Bendigo (C)
Heatherton Christian College,Pri/Sec,Kingston (C)
Melbourne Indigenous Transition School,Special,Melbourne (C)
Alice Miller School,Secondary,Macedon Ranges (S)
Hoa Nghiem Primary School,Primary,Greater Dandenong (C)
Al Iman College,Pri/Sec,Melton (C)
Edinburgh College,Pri/Sec,Yarra Ranges (S)
Giant Steps Melbourne,Special,Boroondara (C)
Harkaway Hills College,Primary,Casey (C)
Lumineer Academy - Williamstown,Primary,Hobsons Bay (C)
Phillip Island Village School,Primary,Bass Coast (S)
Advance Community College,Special,Mornington Peninsula (S)
Preston Reservoir Adult Community Education Inc | PRACE College,Special,Darebin (C)
River Nile School,Special,Melbourne (C)
David Scott School,Special,Frankston (C)
Hester Hornbrook Academy,Special,Port Phillip (C)
SEDA College (Victoria),Secondary,Boroondara (C)
Siena Catholic Primary School,Primary,Ballarat (C)
Cheder Levi Yitzchok Inc,Pri/Sec,Port Phillip (C)
Oscar Romero Catholic Primary School,Primary,Hume (C)
"St Mary MacKillop Catholic Primary School, Bannockburn",Primary,Golden Plains (S)
Our Lady of the Way Catholic Primary School,Primary,Mitchell (S)
Lisieux Catholic Primary School,Primary,Surf Coast (S)
Our Lady Star of the Sea Catholic Primary School,Primary,Bass Coast (S)
Maxwell Creative School,Primary,Cardinia (S)
St Annes College,Pri/Sec,Greater Shepparton (C)
Holy Trinity Catholic Primary School,Primary,Hume (C)
Glowrey Catholic Primary School,Primary,Whittlesea (C)
Fitra Community School,Primary,Kingston (C)
Clyde Grammar,Primary,Casey (C)
St Catherine of Siena Catholic Primary School,Primary,Greater Geelong (C)
Village High School,Secondary,Bass Coast (S)
